content_id,channel_id,views,likes,published_date
uWfHBVdi040,UC_x5XG1OV2P6uZZ5FSM9Ttw,3757,97,2026-02-26
qKSI6S151dA,UC_x5XG1OV2P6uZZ5FSM9Ttw,3233,46,2026-02-26
55X1Nh_oEP0,UC_x5XG1OV2P6uZZ5FSM9Ttw,6851,62,2026-02-25
HgTwHGG9vnU,UC_x5XG1OV2P6uZZ5FSM9Ttw,12696,335,2026-02-24
egtem2SkpIg,UC_x5XG1OV2P6uZZ5FSM9Ttw,4969,65,2026-02-23
dq6mUPvL4dI,UC_x5XG1OV2P6uZZ5FSM9Ttw,5764,147,2026-02-11
9caMeFQYCLk,UCVHFbqXqoYvEWM1Ddxl0QDg,2339,73,2026-02-20
-q2n5DkDoMQ,UC4QZ_LsYcvcq7qOsOhpAX4A,1886506,71432,2026-02-21
jRcqJkW44Lc,UC4QZ_LsYcvcq7qOsOhpAX4A,568551,25246,2026-01-31
nKocyzMO7nI,UC4QZ_LsYcvcq7qOsOhpAX4A,532421,18905,2026-01-20
ghY78-yWr7o,UC4QZ_LsYcvcq7qOsOhpAX4A,969994,37929,2025-12-23
4JxUSGub_t0,UC4QZ_LsYcvcq7qOsOhpAX4A,507235,15752,2025-12-19
zKjo8Oc2qLk,UC4QZ_LsYcvcq7qOsOhpAX4A,2378868,99165,2025-12-11
ntPGl8UyIq4,UC4QZ_LsYcvcq7qOsOhpAX4A,1299274,38047,2025-12-03
GPcdighO0eU,UC4QZ_LsYcvcq7qOsOhpAX4A,620445,23341,2025-11-27
BN9zz2O6jcw,UC4QZ_LsYcvcq7qOsOhpAX4A,385898,13239,2025-11-25
Ul6_QPfoVHg,UC4QZ_LsYcvcq7qOsOhpAX4A,931760,28086,2025-11-11
d0ai33oqqDE,UCYO_jab_esuFRV4b17AJtAw,727371,22593,2026-02-18
7gG91SZwBoE,UCYO_jab_esuFRV4b17AJtAw,785216,22467,2026-02-16
BHdbsHFs2P0,UCYO_jab_esuFRV4b17AJtAw,2340081,71898,2026-01-31
t3jZ2xGOvYg,UCYO_jab_esuFRV4b17AJtAw,717825,16404,2026-01-16
FE-hM1kRK4Y,UCYO_jab_esuFRV4b17AJtAw,628476,21768,2025-11-05
bnjKwiUg-kw,UCYO_jab_esuFRV4b17AJtAw,1133390,40960,2025-10-12
j0wJBEZdwLs,UCYO_jab_esuFRV4b17AJtAw,1324067,44498,2025-10-12
-j8PzkZ70Lg,UCYO_jab_esuFRV4b17AJtAw,868830,35071,2025-10-05
M-MgQC6z3VU,UCYO_jab_esuFRV4b17AJtAw,675837,23961,2025-09-18
1lZpowy21Gc,UCYO_jab_esuFRV4b17AJtAw,223368,8678,2025-09-07
